text,Food,Interior,Price,Whole,Service
"В прошлую субботу посетили с друзьями это заведение. Начилось все не с очень приятных моментов, т.к когда мы пришли туда, то оказалось что нет свободных столиков и только спустя наверное минут 20 официант все нашел нам подходящий стол. В целом заведение понравилось, и обстановка, и интерьер, и меню. Из плюсов: достаточно быстро обслуживание несмотря на огромное количество людей, хорошая атмосфера(играли диджеи) для субботнего вечера, большой выбор еды и алкогольных напитков(хотя мы так и не поели, но алкоголя было выпито много))). Минусы: показалось, что слишком громко играла музыка; отсутствие подсветки над столом(хотя над некоторыми другими свет все же был), из-за чего пришлось подсвечивать меню телефоном и наверное главный минус для меня-это то, что в таком большом заведении не оказалось место для гардероба, вследствие чего наши куртки постоянно падали на пол с дивана. За наш стол попросили депозит 5 тыс, но для большой компании это не так уж много, мы, например, оставили там 8 тыс. Но несмотря на все минусы, остались вполне довольными этим заведением, думаю что посетим еще не раз. Ну и приятная мелочь в конце, попросили у официанта дисконтную карту и он нам ее дал. Так что будет лишний повод зайти и воспользоваться скидкой)",positive,both,positive,both,positive
"Добрый день! Мы с молодым человеком любим открывать новые места..разные рестораны..особенно итальянские. Были во многих уже. Нашла по рейтингу ресторан, пришли, все гости сидели на террасе (лето все таки), а мы сели внутри (поближе к конждиционеру)). Интерьер очень уютный. Сидели прямо напротив кухни (где пиццу готовят) около окна. Есть отзывы, что пахнет кухней..но я не особо заметила..да и легкий аромат пиццы думаю только аппетита прибавит) Начиталась отзывов, что хорошая пицца - взяли именно ее, и остались очень довольны!! Во всех итальянских ресторанах беру тирамису, хлебную козинку и ...захожу в туалет. Таким образом я ставлю оценку заведению. Хлеб должен быть свежий, тираму таять во рту, а на туалетах не должны экономить!! Все понравилось, десерт волшебный! Мило посидели, в окно видела Спас на крови...романтик) Официантка вежливая очень. Напитки принесла быстро...да и еду совсем не пришлось ждать! в общем большое спасибо за атмосферу и угощения. Обязательно придем еще!",positive,positive,absence,positive,positive
"Добрый вечер! Начну сразу, мне ужасно не понравилось, такого отношения в ресторанах я давненько не встречала, Пришла наша компания восемь вечера, наш забронированный столик оказался занят,с нами не поздоровались,предложили другой столик, на весь ресторан работал один официант, наши блюда мы ждали час, притом. что для компании которая пришла позже нас, все подали в течение 15 минут,настроение на нуле...и обещанное одеяло на ДР мы не получили, сказали надо предупреждать о ДР! интересно как это нужно делать, я же бронировала столик на ДР, КАК ЕЩЕ ПРЕДУПРЕДИТЬ?????? Двоякое впечатление о месте... Могу отметить, что сама обстановка и интерьер приятные, еда довольно вкусная, но вот обслуживание на минусе, даже не хотелось оставлять чай...и это был др(((((",positive,positive,absence,both,negative
"Добрый день! Недавно (22 ноября) посещали этот ресторан. Ходили вместе с родителями. Остались очень довольны. Плюсы: - Довольно приятный интерьер, приглушенный, мягкий свет, тихая музыка (не мешает общаться). - Большой выбор блюд и довольно разнообразный. - Нас очень быстро обслужили. Сразу же подали напитки, немногим позже принесли салаты и, не успели мы доесть, как стали подавать горячее. Причем вино подали сразу и оно было уже сильно охлажденное, что особенно понравилось. - Очень порадовала кухня. Всё было очень вкусно! Мы заказали довольно разнообразные блюда и понравилось абсолютно всё! Поварам отдельное спасибо! Поели от души и в удовольствие))) - Ну и конечно, очень удивил и порадовал счет)) Нас было 6 человек, заказали мы салаты, два вида блюд с баклажанами, тофу, утку, рыбу, два вида мяса, мелочи и плюс алкоголь (умеренно) и обошлось в три с копейками. Причем порции были огромные. Мы переели)) Минусы: - Очень не понравилось, что в зале курят. А т.к. зал общий, то в итоге вся одежда провоняла(( - Не очень понравились туалеты. Вроде чисто, но как то не опрятно что ли. В целом впечатление очень хорошее. Конечно же, мы ещё вернемся.",positive,both,positive,positive,positive
"Была в этом заведении 10.09.2008, заехали с мужем после работы - нашли с трудом, название хорошее, а вот написано настолько художественно, что просто не разобрать )) Заведение очень приятное, маленькое уютное - но это скорее кафе, чем ресторан. Два этажа - на втором намного уютнее )) нас сразу встретили, раздели, проводили и разместили )) Огромное спасибо гардеробщику-официанту-бармену в одном лице, симпатичному и дружелюбному афроамериканцу )) Пробовали различные роллы, готовили их очень быстро 5-10 минут, особенно вкусные запеченные и филадельфия быда хороша, но я не поняла, почему роллов было где 5, где, 6, а где 7 ))) Ценник в этом заведении на мой взгляд ресторанный, хотя может это из-за того что роллы довольно большие. В целом мне понравилось - очень большой выбор суши, роллов, салатов, супов и других горячих блюд. Но сюда я больше не пойду, т.к. есть места, где суши готовят лучше и тщательнее.",both,positive,negative,both,positive
"Случайно зашли в это заведение с друзьями. Сделали заказ. Мы сидели на улице, на втором этаже в это время проходил банкет. Попросили плед. Прошло 15 минут - ни пледа, ни официанта. Сходили сами, забрали пледы. Чай принесли спустя минут 10 после заказа. Потом, спустя минут 20 принесли 1 салат. Прошло еще минут 20 принесли 1 горячее (заказ был сделан на 6-х человек). И вот так весь вечер (кто из друзей ел, а кто-то просто ждал) - в общем, свое блюдо я получила спустя 1 час 40 минут после заказа (овощи, приготовленные на углях, можно было бы приготовить побыстрее) и после 3 походов моего мужа к официанту. Порции, заявленные в меню явно, не соответствуют действительному размеру - такой порцией и ребенка не накормишь! Не советую никому!",negative,absence,absence,negative,negative
"Буквально на днях отмечали с мужем наш небольшой юбилей - 2 года. Выбрали для романтического вечера Макарену и очень довольны выбором! Меню отменное, столько всего, что решили заходить почаще чтобы попробовать разные блюда. Коктейли очень вкусные и необычные, есть из чего выбрать. Заказывали салаты из языка и морепродуктов и паэлью с курицей и кроликом. Все очень вкусно и сытно, порции большие, объелись! Отличный кальян, сполна насладились, прекрасный молодой человек кальянщик, приветливый, помог определиться с выбором и не прогадал! Красивый интерьер, были на втором этаже у окна. Музыка понравилась, не давит громкостью как во многих заведениях, а создает уютную романтичную атмосферу. Персонал дружелюбный, все улыбаются, постоянно подходят убирают со стола, предложили оформить накопительную скидку, что очень даже неплохо! В общем, спасибо за прекрасный вечер! Теперь мы ваши постоянные клиенты!",positive,positive,absence,positive,positive
"Были в субботу 24 ноября,зная что народу будет много, заранее заказали столик на 10 человек(встреча однокурсников. Народу действительно было много, но столики на пару человек можно было найти.Ресторан был выбран из тех соображений, чтобы было много места и возможность посидеть большой компаанией, и все таки знакомым местом. Интерьер оставляет желать лучшего, но может быть для такого завидения это нормально. Ужасно накурено, незнаю как у них на счет кондиционеров, это учесть что в ресторане есть детская комната и детское меню.Надо хотя бы сделать для курящих отдельную зону что-ли. Очень понравился салат Дор-брю(помидоры, огурцы, перец,свежие сырые шампиньоны, сыр Дор-брю, масло), Фирменное блюдо колбаски к пиву, которые при подаче поджигают, если честно, думала что фирменное блюдо должно быть посолиднее.Горячее неплохое, но нагриль было непохоже.Громко играет музыка поэтому офицанток незваться и неслышат иногда блюда для заказа, сидишь ждешь 50 мин, а оказывается оно не заказано ждешь еще 50 мин (так написано вменю время приготовления 40-50 мин). Девушка офицантка все время говорила что она это не готовит быстрее не может и очень замученый вид. В целом неплохо. Можно зайти попить пиво с колбасками вечером. А вот с детьми лучше приходить до 15.00 народу меньше и детские праздники до этого времени.",positive,negative,absence,both,negative
"В эту субботу решили с друзьями куда ни будь сходить,повеселиться,покушать и конечно же выпить...Вспомнили приятные отзывы о заведении с легко запоминающимся именем ""Amsterdam-cafe"". Позвонили заказали столик,приехали...Парень администратор дружелюбно встретил нас и провел к нашему столику.Не прошло 5 секунд как нам подали меню,что приятно порадовало, так как в заведениях с таким скоплением народа приходится очень долго ждать. Выбор пива конечно просто смешон, к нашему сожалению было предложенное только 2 сорта пива.Любимого темного не оказалось, официант не растерялся и предложил коктейли.Бармену отдельное спасибо.Угодил всем. Заказали покушать.Кухня тоже не огорчила.Все было просто супер,особенно хочу отметить ""Большой бургер - Амстердам"".Мечта детства,кто успел уже попробовать это блюдо поймет меня. Вообщем все понравилось,кухня, ди-джей,караоке, в особенности хочу поблагодарить персонал за обслуживание.Так же хочу сказать то что в первые увидел как администратор помогает официантам.Где вы видели что бы администратор положив трубку телефона подбегает к столу принимает заказ, забирает пустую посуду и меняет пепельницы.Видно что ребята работают в команде,и делают все что бы ты ушел сытым,отдохнувшим,довольным и немного пьяным.))) Большое спасибо за радушный прием.Ждем с нетерпением следующих выходных!",both,positive,absence,positive,positive
"Отличное кафе!!!! Отмечала в нем свой день рождения с друзьями. Все было замечательно - вкусная и обильная еда, большие блюда, обстановка, вежливая администратор Александра. Небольшое уютное кафе. Очень низкие цены (и это с учетом того, что место находится на Невском проспекте). Я уже не первый раз сюда хожу и всегда очень довольна. Очень вкусные хачапури с сыром, вкусный лосось (кусок очень большой и сытный). И много другой вкусной еды. У меня все друзья решили сюда прийти еще не раз. Если говорить о минусах: Минус, пожалуй, один: Внизу не очень красивый антураж. ПО крайней мере, мне не очень нравится. Но, наверное, это на любителя. На верхнем этаже все супер!!!! НО зато внизу можно попеть караоке! Есть ооочень вкусный кальян. В общем, порекомендую это место всем тем, кто хочет вкусно, сытно и не очень дорого отметить какой-нибудь праздник или просто посидеть вдвоем в уютной обстановке. Очень-очень довольна!!!!",positive,both,positive,positive,positive
"В эти выходные отмечала день рождения в этом ресторане.Столик заказала заранее,попросила посадить поуютнее-не разочаровали,посадили именно туда куда и хотели.Интерьер очень приятный,играет спокойная музыка.Кухня очень понравилась,особенно мясо (говядина с рукколой) и десерты(грушевый наполеон).Все гости остались очень довольны,спасибо большое!!! С обслуживанием повезло,попалась милая девушка,которая подробно рассказывала и отвечала на все вопросы с улыбкой. Придем еще обязательно!",positive,positive,absence,positive,positive
"На днях, в командировку, приезжали коллеги по работе и мы, вчетвером, забрели в этот замечательный ресторанчик на Каменоостровском. Кушали достаточно много, очень понравилась кухня. Я лично заказывал котлетки из лосося с пюре и канадский ролл. В общем, это не первое мое посещение данного заведения, и котлетки и роллы здесь я уже пробовал, но на этот раз, приготовлены они были по-другому, вкуснее и сочнее, как мне показалось. Ролл вообще был замечательным, сравнение с ним не выдержали бы блюда из традиционных Питерских сетевых заведений японской кухни)) Хотя, не знаю, конечно, корректно ли такое сравнение, в других местах суши как-то не часто есть приходилось. После вопроса официанту выяснилось, что сменился шеф-повар и меню теперь меняют. Расстройство принесла информация о том, что котлетки из лосося и креветок хотят убрать из меняю(. Коллегам. так же, очень понравились блюда.В особенности суп из двух рыб, стейк из лосося и бефстроганов с пюре. Интерьер тоже поменялся, но не особо изменил своему стилю, обслуживание, как и раньше осталось на достаточно неплохом уровне, в общем мы остались довольны, спасибо! Я знаю, что отзывы часто просматривают администраторы выложенных ресторанов, очень большая просьба к Вам, пожалуйста не убирайте котлетки из меню!!! Спасибо!",positive,positive,absence,positive,positive
"Не могу не рассказать, как прошел банкет на мою свадьбу. Итак, когда мы приехали закуски уже были готовы, все было вкусно и как должно быть. Официантка, все делала четко. Бокалы были полны, тарелки пустые во время убирались. Второе мы заказывали по меню. После заказа прошло около полу часа, а может и больше, когда к о мне подошла официантка и сказала, что на кухне нет света, и надо делать другой заказ на горячее (на углях). После бракосочетания и прогулки по городу, как понимаете гости всегда голодные. Да, закуски, как-то смягчили желание поесть, но не на столько, чтобы ждать еще час. Делать было нечего, все опять сели за стол и стали выбирать себе другие блюда, через 20 минут был сделан еще один заказ. И через 30 минут стало совсем смешно, когда ко мне подошла администратор и сказала, что горячего на углях не будет. Будет выполнен первоначальный заказ. В тот день мне ни чем нельзя было испортить настроение. Через 15 минут, на столах появился наш заказ. Тогда уже было все равно, главное накормить гостей, ну и себя) Торт. заказанный заранее (наполеон) не оправдал моих ожиданий, ну что ж на вкус и цвет товарища нет. Что касается интерьера, то он очень подходит для торжеств, удалось поработать с фотографом в интерьерах зала VIP. Рекомендую, но. видимо, ВСЮ кухню надо заказывать заранее. а лучше еще и попробовать!",both,positive,absence,both,both
"В пятницу отмечали свадьбу в этом ресторане. Т. к. гостей было немного, то просто заказали столик. Отлично провели время. Хорошая кухня и обслуживание, приятная атмосфера. Очень порадовал подарок от шеф-повара для молодых. Спасибо вам большое! Всем советую сходить туда, цены приемлемые.А вечером в пятницу и в субботу танцевальное шоу и живая музыка.",positive,positive,positive,positive,positive
"Были в этом заведении впервые, компанией из 4-х человек. Столики все заняты, сесть было проблематично, тесно, места мало. Интерьер...средненький, без изюминки, подобные вышли из моды лет 5 назад. Но довольно уютно. Отдельно хочу отметить фоновую музыку - хорошая громкость (небольшая, но отчетливая), и отличная, просто отличная подборка! За музыку спасибо :) Для курящих на улице перед входом стоит скамейка. Официанта встретила, усадила, была довольно приветлива. Меню небольшое, но выбор есть - как улучшенный фаст-фуд, так и салаты, и полноценное горячее, много напитков. Из выбранных блюд трех не оказалось в наличии, что напрягло с самого начала. Время ожидания растянулось на 35 минут!! Блюда в результате принесли неравномерно, один гость получил свой салат в самом конце, когда остальные съели и суп, и второе! Порции большие, подача неплохая, но блюда абсолютно простые, не ресторанные. Резюме: сесть сложно, места мало, скорость обслуживания недопустимо низкая, блюда рядовые - в комплексе это не подходит ни для кафе перекусить, ни для ресторана посидеть. Больше не пойдем.",both,both,absence,negative,negative
"была там последний раз где то месяц назад в часа 4!столы были почти все заняты,заказала суп,несли не долго и было вкусно,на кухню там не когда не жаловалась,всегда приносят комплимент от шеф повара,а что касается спагетти,можно заказать пол порции если есть не особо хочется!сам ресторан не очень большой,интерьер довольно приятный,как то там все уютно!но есть огромный минус,ресторан находится на улице восстания и к сожалению,там не где парковаться и очень сложно найти место хотя бы поблизости,причем что днем,что вечером!",positive,positive,absence,both,positive
